classical_mean,quantum_mean,mean_diff,ci_low,ci_high,cohens_d,nb_t_stat,nb_p_raw,wilcoxon_p_raw,modal_reps,modal_entanglement,arch_agreement_rate,classical_balanced_mean,quantum_balanced_mean,balanced_mean_diff,dataset,encoding,seed,nb_p_holm,significant
0.9676923076923077,0.6661538461538461,-0.3015384615384616,-0.40078340346718166,-0.20229351960974154,-3.376927059270953,-6.27079612270557,1.7574406090403727e-06,1.192707048401316e-05,1,linear,0.88,0.9670216450216451,0.6605800865800866,-0.3064415584415585,wine,pauli,123,0.00010017411471530124,True
0.9661538461538461,0.6569230769230769,-0.30923076923076925,-0.43044176630668163,-0.18801977215485688,-2.835489375751565,-5.265371585276245,2.1254732121223086e-05,1.1636338012087819e-05,1,linear,0.76,0.9652424242424241,0.6497705627705628,-0.31547186147186135,wine,pauli,2024,0.000977717677576262,True
0.9738461538461539,0.6507692307692308,-0.32307692307692304,-0.4313620322983174,-0.2147918138555287,-3.3160765425972354,-6.157799549985826,2.314459349728182e-06,1.1861963277364072e-05,1,linear,0.8,0.972034632034632,0.6452770562770563,-0.3267575757575757,wine,pauli,99,0.00012960972358477818,True
0.968,0.9239999999999999,-0.043999999999999984,-0.09027307830411702,0.002273078304117042,-1.056845815113575,-1.9625134103851734,0.0613965075186198,0.0005320055051392492,1,none,1.0,0.968,0.9239999999999999,-0.04400000000000004,iris_hard,z,42,1.0,False
0.966,0.92,-0.045999999999999985,-0.1157794102568298,0.023779410256829836,-0.7326859850186204,-1.3605637176561909,0.1862934798504905,0.005240738964624354,1,none,1.0,0.966,0.92,-0.04599999999999993,iris_hard,z,7,1.0,False
0.964,0.922,-0.042,-0.10751862156328962,0.023518621563289606,-0.7124787009311757,-1.323039733133613,0.198289897221414,0.0015569167617219889,1,none,1.0,0.964,0.922,-0.041999999999999926,iris_hard,z,123,1.0,False
0.966,0.9159999999999999,-0.04999999999999999,-0.10557216949787368,0.005572169497873702,-0.9999999999999998,-1.8569533817705184,0.07563316464077663,0.0006484193343647163,1,none,1.0,0.966,0.9159999999999999,-0.050000000000000044,iris_hard,z,2024,1.0,False
0.9740000000000001,0.92,-0.05399999999999999,-0.11385305828721257,0.005853058287212588,-1.0027548261560801,-1.8620689655172418,0.07488217127131569,0.000428928005923154,1,none,1.0,0.9740000000000001,0.92,-0.05400000000000005,iris_hard,z,99,1.0,False
0.968,0.8340000000000001,-0.13399999999999998,-0.19959713401993434,-0.06840286598006563,-2.2704256287941185,-4.216074549447694,0.0003048129039813219,2.395119355598946e-05,1,full,0.8,0.968,0.8340000000000001,-0.1339999999999999,iris_hard,zz,42,0.010668451639346266,True
0.966,0.8319999999999999,-0.134,-0.24481969387375124,-0.02318030612624876,-1.3439255158381003,-2.495607031483249,0.0198472476806697,3.713730319539778e-05,1,full,0.76,0.966,0.8320000000000002,-0.13399999999999979,iris_hard,zz,7,0.4366394489747334,False
0.964,0.804,-0.15999999999999998,-0.2549075474670456,-0.0650924525329544,-1.8737281400611836,-3.4794258062051986,0.0019384928777907984,1.1572512703616716e-05,1,full,0.8,0.964,0.804,-0.15999999999999992,iris_hard,zz,123,0.054277800578142354,False
